person_id,person_id,person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,person_birth_date
4594,4594,22,41600,MORTGAGE,2.0,EDUCATION,D,3000,15.05,0,0.07,N,3,2002-12-04
4595,4595,24,114800,RENT,6.0,PERSONAL,A,10000,8.94,0,0.09,N,4,2000-12-04
4596,4596,22,41604,OWN,1.0,PERSONAL,B,14400,,0,0.35,N,4,2002-12-04
4597,4597,25,41664,MORTGAGE,6.0,HOMEIMPROVEMENT,A,4000,5.99,0,0.1,N,2,1999-12-04
4598,4598,25,115000,RENT,6.0,MEDICAL,A,10000,7.29,0,0.09,N,4,1999-12-04
4599,4599,22,41717,OWN,5.0,VENTURE,B,20000,11.12,0,0.48,N,4,2002-12-04
4600,4600,25,41718,OWN,3.0,VENTURE,A,5000,7.51,0,0.12,N,2,1999-12-04
4601,4601,25,115000,RENT,3.0,MEDICAL,B,10000,10.37,0,0.09,N,2,1999-12-04
4602,4602,21,35760,MORTGAGE,5.0,HOMEIMPROVEMENT,E,2400,,1,0.07,N,3,2003-12-04
4603,4603,25,116000,RENT,5.0,DEBTCONSOLIDATION,C,10000,14.26,0,0.09,Y,4,1999-12-04
4604,4604,22,41784,MORTGAGE,6.0,DEBTCONSOLIDATION,A,5000,6.03,0,0.12,N,2,2002-12-04
4605,4605,22,41800,MORTGAGE,3.0,VENTURE,A,3100,6.76,0,0.07,N,4,2002-12-04
4606,4606,22,41820,MORTGAGE,4.0,PERSONAL,A,2500,6.91,0,0.06,N,3,2002-12-04
4607,4607,21,120000,RENT,2.0,DEBTCONSOLIDATION,B,10000,11.71,0,0.08,N,3,2003-12-04
4608,4608,21,120000,RENT,4.0,DEBTCONSOLIDATION,B,10000,9.99,0,0.08,N,3,2003-12-04
4609,4609,26,120000,RENT,11.0,HOMEIMPROVEMENT,C,10000,12.68,0,0.08,N,2,1998-12-04
4610,4610,23,35941,MORTGAGE,7.0,HOMEIMPROVEMENT,C,3500,13.35,1,0.1,N,2,2001-12-04
4611,4611,24,120000,RENT,3.0,MEDICAL,A,10000,7.88,0,0.08,N,2,2000-12-04
4612,4612,24,120000,RENT,4.0,HOMEIMPROVEMENT,C,10000,13.61,0,0.08,Y,4,2000-12-04
4613,4613,23,91800,RENT,7.0,MEDICAL,B,10000,,1,0.09,N,4,2001-12-04
4614,4614,25,120000,RENT,3.0,DEBTCONSOLIDATION,A,10000,9.32,0,0.08,N,2,1999-12-04
4615,4615,23,120000,RENT,0.0,DEBTCONSOLIDATION,C,10000,11.66,0,0.08,N,2,2001-12-04
4616,4616,24,42000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,19200,7.9,0,0.46,N,2,2000-12-04
4617,4617,26,122500,RENT,1.0,MEDICAL,B,10000,10.65,0,0.08,N,3,1998-12-04
4618,4618,25,42000,MORTGAGE,,DEBTCONSOLIDATION,B,3000,9.91,0,0.07,N,4,1999-12-04
4619,4619,23,124000,RENT,2.0,PERSONAL,C,10000,14.27,0,0.08,N,3,2001-12-04
4620,4620,22,42000,MORTGAGE,1.0,PERSONAL,C,10500,14.65,0,0.25,N,2,2002-12-04
4621,4621,26,125000,RENT,6.0,VENTURE,A,10000,7.49,0,0.08,N,2,1998-12-04
4622,4622,25,130000,RENT,7.0,HOMEIMPROVEMENT,A,10000,7.49,0,0.08,N,2,1999-12-04
4623,4623,22,36000,MORTGAGE,6.0,DEBTCONSOLIDATION,B,4000,12.69,1,0.11,N,4,2002-12-04
4624,4624,21,36000,MORTGAGE,2.0,MEDICAL,C,5000,14.27,1,0.14,Y,2,2003-12-04
4625,4625,25,42000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,12000,9.91,0,0.29,N,2,1999-12-04
4626,4626,23,42000,MORTGAGE,0.0,PERSONAL,D,6000,16.77,0,0.14,N,3,2001-12-04
4627,4627,25,42000,MORTGAGE,1.0,VENTURE,A,13975,8.9,0,0.33,N,4,1999-12-04
4628,4628,25,132000,RENT,4.0,HOMEIMPROVEMENT,C,10000,12.84,0,0.08,Y,3,1999-12-04
4629,4629,22,42000,MORTGAGE,6.0,EDUCATION,C,15000,13.49,0,0.36,Y,4,2002-12-04
4630,4630,22,140000,RENT,0.0,EDUCATION,B,10000,9.99,0,0.07,N,2,2002-12-04
4631,4631,24,140000,RENT,0.0,HOMEIMPROVEMENT,B,10000,11.14,0,0.07,N,2,2000-12-04
4632,4632,24,42000,MORTGAGE,5.0,EDUCATION,A,4900,6.03,0,0.12,N,4,2000-12-04
4633,4633,24,42000,OWN,8.0,EDUCATION,A,8000,6.62,0,0.19,N,4,2000-12-04
4634,4634,22,42000,MORTGAGE,5.0,VENTURE,A,5400,6.03,0,0.13,N,3,2002-12-04
4635,4635,22,42000,OWN,6.0,VENTURE,A,4800,,0,0.11,N,3,2002-12-04
4636,4636,26,145000,RENT,1.0,HOMEIMPROVEMENT,B,10000,10.99,0,0.07,N,3,1998-12-04
4637,4637,22,42000,MORTGAGE,,VENTURE,B,3500,9.91,0,0.08,N,2,2002-12-04
4638,4638,24,42000,MORTGAGE,3.0,EDUCATION,A,8675,7.51,0,0.21,N,4,2000-12-04
4639,4639,23,157500,RENT,1.0,EDUCATION,B,10000,12.69,0,0.06,N,2,2001-12-04
4640,4640,25,42000,OWN,6.0,EDUCATION,A,18000,,0,0.43,N,2,1999-12-04
4641,4641,22,160000,RENT,0.0,VENTURE,A,10000,8.94,0,0.06,N,3,2002-12-04
4642,4642,25,153000,RENT,9.0,DEBTCONSOLIDATION,D,10000,14.96,1,0.07,Y,4,1999-12-04
4643,4643,24,165000,RENT,2.0,PERSONAL,B,10000,9.2,0,0.06,N,3,2000-12-04
4644,4644,24,42000,MORTGAGE,6.0,MEDICAL,A,3125,8.9,0,0.07,N,3,2000-12-04
4645,4645,25,175000,RENT,4.0,HOMEIMPROVEMENT,D,10000,15.05,0,0.06,Y,4,1999-12-04
4646,4646,24,238000,RENT,2.0,VENTURE,D,10000,13.67,1,0.04,N,2,2000-12-04
4647,4647,22,42000,MORTGAGE,7.0,DEBTCONSOLIDATION,B,9350,12.69,0,0.22,N,2,2002-12-04
4648,4648,24,42000,MORTGAGE,,VENTURE,A,8000,6.62,0,0.19,N,3,2000-12-04
4649,4649,24,24148,RENT,1.0,EDUCATION,B,9975,11.48,1,0.41,N,4,2000-12-04
4650,4650,22,29004,RENT,,EDUCATION,B,9975,,1,0.34,N,2,2002-12-04
4651,4651,24,46000,RENT,2.0,VENTURE,C,9975,13.11,0,0.22,Y,3,2000-12-04
4652,4652,22,60000,RENT,6.0,VENTURE,B,9975,11.48,0,0.17,N,4,2002-12-04
4653,4653,22,42000,MORTGAGE,6.0,MEDICAL,A,3000,6.03,0,0.07,N,2,2002-12-04
4654,4654,23,65000,RENT,0.0,VENTURE,A,9975,7.51,0,0.15,N,2,2001-12-04
4655,4655,23,42000,OWN,5.0,VENTURE,A,6500,6.03,0,0.15,N,2,2001-12-04
4656,4656,22,72000,RENT,0.0,VENTURE,B,9975,10.99,0,0.14,N,3,2002-12-04
4657,4657,22,42000,OWN,6.0,PERSONAL,A,10000,6.03,0,0.24,N,2,2002-12-04
4658,4658,25,42000,MORTGAGE,9.0,EDUCATION,A,9100,,0,0.22,N,3,1999-12-04
4659,4659,22,83200,RENT,6.0,DEBTCONSOLIDATION,C,9975,,0,0.12,N,3,2002-12-04
4660,4660,25,26880,RENT,1.0,VENTURE,C,4900,14.26,0,0.18,Y,4,1999-12-04
4661,4661,21,42000,OWN,5.0,EDUCATION,D,5000,17.49,0,0.12,N,2,2003-12-04
4662,4662,22,26400,RENT,6.0,EDUCATION,B,9900,11.71,1,0.38,N,4,2002-12-04
4663,4663,22,30000,RENT,4.0,VENTURE,A,9875,7.29,1,0.33,N,3,2002-12-04
4664,4664,23,42000,MORTGAGE,7.0,EDUCATION,B,8000,10.99,0,0.19,N,4,2001-12-04
4665,4665,26,28000,RENT,5.0,VENTURE,A,9800,7.29,1,0.35,N,4,1998-12-04
4666,4666,22,33000,RENT,,DEBTCONSOLIDATION,C,9800,,1,0.3,N,2,2002-12-04
4667,4667,25,36000,RENT,3.0,EDUCATION,B,9800,10.36,0,0.27,N,4,1999-12-04
4668,4668,23,48000,RENT,7.0,DEBTCONSOLIDATION,A,9800,7.88,0,0.2,N,4,2001-12-04
4669,4669,23,44000,RENT,7.0,EDUCATION,A,9800,7.51,1,0.22,N,2,2001-12-04
4670,4670,24,42000,MORTGAGE,4.0,HOMEIMPROVEMENT,A,12000,6.99,0,0.29,N,3,2000-12-04
4671,4671,23,44000,RENT,7.0,MEDICAL,C,9800,13.11,1,0.22,N,2,2001-12-04
4672,4672,24,42000,MORTGAGE,8.0,PERSONAL,B,1000,11.49,0,0.02,N,4,2000-12-04
4673,4673,26,36000,MORTGAGE,3.0,EDUCATION,B,11000,10.59,1,0.31,N,4,1998-12-04
4674,4674,24,53500,RENT,0.0,HOMEIMPROVEMENT,A,9800,6.17,0,0.18,N,4,2000-12-04
4675,4675,23,60000,RENT,4.0,EDUCATION,C,9800,13.49,0,0.16,N,2,2001-12-04
4676,4676,22,60000,RENT,4.0,PERSONAL,B,9800,,0,0.16,N,3,2002-12-04
4677,4677,25,60000,RENT,4.0,PERSONAL,A,9800,,0,0.16,N,3,1999-12-04
4678,4678,24,82500,RENT,8.0,MEDICAL,A,9800,7.51,0,0.12,N,4,2000-12-04
4679,4679,23,66300,RENT,7.0,MEDICAL,D,9800,15.7,1,0.13,Y,2,2001-12-04
4680,4680,22,42000,OWN,3.0,VENTURE,A,7000,,0,0.17,N,3,2002-12-04
4681,4681,26,93000,RENT,7.0,HOMEIMPROVEMENT,B,9800,10.25,0,0.11,N,4,1998-12-04
4682,4682,25,42000,MORTGAGE,2.0,EDUCATION,C,7200,14.79,0,0.17,Y,2,1999-12-04
4683,4683,26,107000,RENT,2.0,MEDICAL,A,9800,8.9,0,0.09,N,3,1998-12-04
4684,4684,23,36000,MORTGAGE,7.0,HOMEIMPROVEMENT,B,6725,11.49,1,0.19,N,2,2001-12-04
4685,4685,21,42000,MORTGAGE,5.0,EDUCATION,C,7000,15.23,0,0.17,Y,4,2003-12-04
4686,4686,23,36504,RENT,0.0,EDUCATION,C,4900,12.68,0,0.13,N,2,2001-12-04
4687,4687,25,32400,RENT,2.0,MEDICAL,B,4900,11.49,1,0.15,N,2,1999-12-04
4688,4688,23,42000,RENT,2.0,EDUCATION,C,4900,14.72,0,0.12,Y,4,2001-12-04
4689,4689,22,42000,MORTGAGE,6.0,EDUCATION,C,14750,12.99,0,0.35,N,4,2002-12-04
4690,4690,22,42000,MORTGAGE,6.0,EDUCATION,C,6000,12.99,0,0.14,Y,2,2002-12-04
4691,4691,22,42000,MORTGAGE,5.0,VENTURE,A,5000,6.99,0,0.12,N,4,2002-12-04
4692,4692,26,36000,MORTGAGE,1.0,HOMEIMPROVEMENT,B,4500,10.59,1,0.13,N,2,1998-12-04
4693,4693,23,50000,RENT,0.0,EDUCATION,A,4900,8.49,0,0.1,N,3,2001-12-04
4694,4694,21,50000,RENT,5.0,EDUCATION,A,4900,8.94,0,0.1,N,2,2003-12-04
4695,4695,24,51630,RENT,0.0,MEDICAL,B,4900,9.99,0,0.09,N,3,2000-12-04
4696,4696,23,54096,RENT,2.0,PERSONAL,B,4900,,0,0.09,N,2,2001-12-04
4697,4697,23,42000,MORTGAGE,7.0,VENTURE,A,8000,5.42,0,0.19,N,3,2001-12-04
4698,4698,24,69600,RENT,8.0,PERSONAL,B,4900,9.99,0,0.07,N,2,2000-12-04
4699,4699,23,42000,MORTGAGE,7.0,PERSONAL,C,12000,15.23,0,0.29,Y,3,2001-12-04
4700,4700,21,42000,OWN,5.0,MEDICAL,B,8000,9.99,0,0.19,N,4,2003-12-04
4701,4701,24,74000,RENT,1.0,PERSONAL,C,4900,12.87,0,0.07,N,3,2000-12-04
4702,4702,23,107000,RENT,2.0,DEBTCONSOLIDATION,A,4900,8.94,0,0.05,N,2,2001-12-04
4703,4703,25,13296,RENT,,HOMEIMPROVEMENT,B,4950,9.63,1,0.37,N,3,1999-12-04
4704,4704,22,15000,RENT,3.0,PERSONAL,A,4950,8.9,1,0.33,N,4,2002-12-04
4705,4705,24,42000,MORTGAGE,9.0,PERSONAL,A,11000,5.42,0,0.26,N,4,2000-12-04
4706,4706,24,42000,MORTGAGE,2.0,PERSONAL,A,10000,7.49,0,0.24,N,4,2000-12-04
4707,4707,24,36000,MORTGAGE,5.0,MEDICAL,C,4000,15.23,1,0.11,Y,3,2000-12-04
4708,4708,22,34000,RENT,3.0,DEBTCONSOLIDATION,A,4975,7.51,1,0.15,N,2,2002-12-04
4709,4709,24,75000,RENT,0.0,DEBTCONSOLIDATION,A,4975,6.76,0,0.07,N,4,2000-12-04
4710,4710,22,95000,RENT,0.0,MEDICAL,A,4975,6.17,0,0.05,N,3,2002-12-04
4711,4711,23,42000,OWN,0.0,PERSONAL,A,6000,5.42,0,0.14,N,2,2001-12-04
4712,4712,23,27972,RENT,6.0,VENTURE,A,5000,8.94,0,0.18,N,3,2001-12-04
4713,4713,22,27996,RENT,1.0,VENTURE,E,5000,17.51,1,0.18,N,4,2002-12-04
4714,4714,24,42000,MORTGAGE,4.0,VENTURE,B,1200,11.49,0,0.03,N,3,2000-12-04
4715,4715,22,27996,RENT,4.0,MEDICAL,C,5000,,0,0.18,Y,3,2002-12-04
4716,4716,24,42000,MORTGAGE,8.0,HOMEIMPROVEMENT,D,2500,15.28,0,0.06,N,2,2000-12-04
4717,4717,23,28000,RENT,4.0,DEBTCONSOLIDATION,C,5000,13.72,1,0.18,N,4,2001-12-04
4718,4718,23,28000,RENT,0.0,MEDICAL,C,5000,11.78,0,0.18,N,4,2001-12-04
4719,4719,24,28000,RENT,0.0,MEDICAL,A,5000,7.68,0,0.18,N,3,2000-12-04
4720,4720,25,28800,RENT,0.0,EDUCATION,A,5000,8.9,0,0.17,N,2,1999-12-04
4721,4721,22,28800,RENT,6.0,EDUCATION,A,5000,6.91,0,0.17,N,2,2002-12-04
4722,4722,23,28800,RENT,0.0,EDUCATION,B,5000,11.49,0,0.17,N,2,2001-12-04
4723,4723,23,42000,MORTGAGE,8.0,MEDICAL,B,7600,6.0,0,0.18,N,2,2001-12-04
4724,4724,22,42000,MORTGAGE,4.0,PERSONAL,A,7050,,0,0.17,N,4,2002-12-04
4725,4725,23,28800,RENT,2.0,VENTURE,C,5000,13.11,0,0.17,N,3,2001-12-04
4726,4726,23,29100,RENT,3.0,EDUCATION,D,5000,14.84,0,0.17,N,2,2001-12-04
4727,4727,24,29120,RENT,0.0,EDUCATION,B,5000,10.99,0,0.17,N,4,2000-12-04
4728,4728,23,29730,RENT,2.0,DEBTCONSOLIDATION,A,5000,7.66,0,0.17,N,4,2001-12-04
4729,4729,22,29865,RENT,6.0,EDUCATION,B,5000,11.12,1,0.17,N,3,2002-12-04
4730,4730,21,42000,MORTGAGE,1.0,DEBTCONSOLIDATION,A,2500,7.29,0,0.06,N,4,2003-12-04
4731,4731,26,30000,RENT,2.0,EDUCATION,B,5000,12.42,1,0.17,N,2,1998-12-04
4732,4732,25,30000,RENT,,EDUCATION,A,5000,7.9,0,0.17,N,3,1999-12-04
4733,4733,24,42000,MORTGAGE,8.0,DEBTCONSOLIDATION,B,22250,11.11,0,0.53,N,3,2000-12-04
4734,4734,24,30000,RENT,6.0,DEBTCONSOLIDATION,B,5000,12.69,1,0.17,N,4,2000-12-04
4735,4735,26,30000,RENT,4.0,PERSONAL,C,5000,,0,0.17,Y,2,1998-12-04
4736,4736,23,36000,MORTGAGE,7.0,HOMEIMPROVEMENT,A,10750,,1,0.3,N,3,2001-12-04
4737,4737,22,30000,RENT,2.0,EDUCATION,C,5000,,0,0.17,Y,2,2002-12-04
4738,4738,23,30000,RENT,,HOMEIMPROVEMENT,C,5000,12.99,1,0.17,Y,2,2001-12-04
4739,4739,22,42000,OWN,2.0,VENTURE,A,9000,7.66,0,0.21,N,2,2002-12-04
4740,4740,26,30000,RENT,11.0,MEDICAL,B,5000,,0,0.17,N,2,1998-12-04
4741,4741,22,30000,RENT,0.0,HOMEIMPROVEMENT,B,5000,8.88,1,0.17,N,3,2002-12-04
4742,4742,23,30000,RENT,0.0,EDUCATION,C,5000,,0,0.17,N,3,2001-12-04
4743,4743,25,30000,RENT,4.0,EDUCATION,B,5000,11.86,0,0.17,N,2,1999-12-04
4744,4744,24,42000,OWN,7.0,VENTURE,A,12000,7.66,0,0.29,N,3,2000-12-04
4745,4745,22,30000,RENT,0.0,EDUCATION,B,5000,11.49,0,0.17,N,2,2002-12-04
4746,4746,23,30000,RENT,0.0,PERSONAL,B,5000,11.86,0,0.17,N,2,2001-12-04
4747,4747,21,30000,RENT,0.0,VENTURE,A,5000,8.59,0,0.17,N,2,2003-12-04
4748,4748,21,30000,RENT,2.0,PERSONAL,D,5000,14.96,1,0.17,N,2,2003-12-04
4749,4749,25,42000,MORTGAGE,9.0,HOMEIMPROVEMENT,B,3250,10.0,0,0.08,N,3,1999-12-04
4750,4750,21,30000,RENT,3.0,VENTURE,C,5000,13.92,0,0.17,N,4,2003-12-04
4751,4751,24,30000,RENT,0.0,EDUCATION,B,5000,11.14,0,0.17,N,2,2000-12-04
4752,4752,21,36000,MORTGAGE,0.0,EDUCATION,A,14000,6.54,1,0.39,N,4,2003-12-04
4753,4753,26,30000,RENT,7.0,DEBTCONSOLIDATION,D,5000,14.42,1,0.17,N,4,1998-12-04
4754,4754,23,30000,RENT,0.0,PERSONAL,C,5000,11.59,0,0.17,Y,4,2001-12-04
4755,4755,22,30000,RENT,0.0,EDUCATION,B,5000,10.33,0,0.17,N,3,2002-12-04
4756,4756,23,30159,RENT,0.0,EDUCATION,B,5000,11.12,0,0.17,N,2,2001-12-04
4757,4757,25,42000,MORTGAGE,3.0,HOMEIMPROVEMENT,A,10000,5.42,0,0.24,N,2,1999-12-04
4758,4758,22,42000,OWN,0.0,EDUCATION,C,12000,,0,0.29,N,4,2002-12-04
4759,4759,22,30900,RENT,3.0,VENTURE,B,5000,10.0,0,0.16,N,2,2002-12-04
4760,4760,23,42000,MORTGAGE,2.0,VENTURE,A,1500,6.17,0,0.04,N,3,2001-12-04
4761,4761,26,31000,RENT,4.0,EDUCATION,D,5000,14.96,0,0.16,Y,3,1998-12-04
4762,4762,22,31000,RENT,2.0,MEDICAL,B,5000,10.62,0,0.16,N,4,2002-12-04
4763,4763,25,31000,RENT,0.0,PERSONAL,A,5000,8.94,0,0.16,N,2,1999-12-04
4764,4764,26,31200,RENT,8.0,EDUCATION,A,5000,8.63,0,0.16,N,2,1998-12-04
4765,4765,22,31404,RENT,0.0,PERSONAL,A,5000,7.51,0,0.16,N,3,2002-12-04
4766,4766,25,42000,MORTGAGE,,VENTURE,B,3500,10.36,0,0.08,N,2,1999-12-04
4767,4767,23,31920,RENT,0.0,DEBTCONSOLIDATION,A,5000,8.0,0,0.16,N,3,2001-12-04
4768,4768,23,42000,MORTGAGE,3.0,EDUCATION,A,11000,6.54,0,0.26,N,3,2001-12-04
4769,4769,21,42000,OWN,5.0,VENTURE,B,12250,8.88,0,0.29,N,4,2003-12-04
4770,4770,25,32000,RENT,9.0,VENTURE,C,5000,14.27,1,0.16,Y,4,1999-12-04
4771,4771,23,32000,RENT,4.0,HOMEIMPROVEMENT,B,5000,12.69,1,0.16,N,4,2001-12-04
4772,4772,26,32000,RENT,3.0,VENTURE,A,5000,6.03,0,0.16,N,2,1998-12-04
4773,4773,22,36000,MORTGAGE,3.0,DEBTCONSOLIDATION,D,7000,14.84,1,0.19,N,3,2002-12-04
4774,4774,23,32000,RENT,3.0,DEBTCONSOLIDATION,C,5000,14.79,0,0.16,N,2,2001-12-04
4775,4775,24,42000,MORTGAGE,6.0,VENTURE,B,9250,11.12,0,0.22,N,4,2000-12-04
4776,4776,26,32000,RENT,3.0,DEBTCONSOLIDATION,A,5000,7.49,0,0.16,N,2,1998-12-04
4777,4777,24,32000,RENT,1.0,MEDICAL,A,5000,,0,0.16,N,3,2000-12-04
4778,4778,26,32000,RENT,10.0,PERSONAL,C,5000,12.53,0,0.16,Y,3,1998-12-04
4779,4779,21,32000,RENT,3.0,EDUCATION,A,5000,7.68,0,0.16,N,4,2003-12-04
4780,4780,24,32004,RENT,3.0,DEBTCONSOLIDATION,C,5000,13.23,0,0.16,N,2,2000-12-04
4781,4781,25,32004,RENT,5.0,DEBTCONSOLIDATION,C,5000,14.35,0,0.16,N,3,1999-12-04
4782,4782,24,42000,MORTGAGE,8.0,PERSONAL,B,12000,10.38,0,0.29,N,4,2000-12-04
4783,4783,23,32400,RENT,0.0,MEDICAL,B,5000,,0,0.15,N,2,2001-12-04
4784,4784,24,42000,MORTGAGE,7.0,MEDICAL,C,4200,13.23,0,0.1,N,2,2000-12-04
4785,4785,24,36000,MORTGAGE,8.0,HOMEIMPROVEMENT,A,6000,7.14,1,0.17,N,4,2000-12-04
4786,4786,22,32760,RENT,3.0,PERSONAL,C,5000,13.48,0,0.15,Y,3,2002-12-04
4787,4787,22,32968,RENT,2.0,DEBTCONSOLIDATION,D,5000,14.61,1,0.15,N,3,2002-12-04
4788,4788,26,33000,RENT,2.0,MEDICAL,B,5000,12.69,0,0.15,N,4,1998-12-04
4789,4789,26,36000,MORTGAGE,2.0,HOMEIMPROVEMENT,B,6000,11.49,1,0.17,N,2,1998-12-04
4790,4790,23,33000,RENT,5.0,PERSONAL,B,5000,10.62,0,0.15,N,2,2001-12-04
4791,4791,23,42000,MORTGAGE,0.0,DEBTCONSOLIDATION,A,11000,7.88,0,0.26,N,2,2001-12-04
4792,4792,22,33000,RENT,1.0,DEBTCONSOLIDATION,B,5000,10.25,0,0.15,N,4,2002-12-04
4793,4793,24,33000,RENT,8.0,MEDICAL,C,5000,,0,0.15,N,3,2000-12-04
4794,4794,21,33000,RENT,5.0,EDUCATION,C,5000,12.84,0,0.15,N,2,2003-12-04
4795,4795,24,42000,OWN,7.0,MEDICAL,A,3000,7.51,0,0.07,N,2,2000-12-04
4796,4796,23,33017,RENT,1.0,PERSONAL,B,5000,,0,0.15,N,4,2001-12-04
4797,4797,26,33280,RENT,11.0,DEBTCONSOLIDATION,D,5000,14.11,1,0.15,N,4,1998-12-04
4798,4798,23,33600,RENT,3.0,VENTURE,C,5000,13.49,0,0.15,Y,4,2001-12-04
4799,4799,21,33600,RENT,4.0,EDUCATION,C,5000,13.49,0,0.15,N,3,2003-12-04
4800,4800,21,42000,MORTGAGE,3.0,EDUCATION,B,13750,11.36,0,0.33,N,4,2003-12-04
4801,4801,21,33996,RENT,0.0,PERSONAL,B,5000,12.18,0,0.15,N,3,2003-12-04
4802,4802,25,33996,RENT,0.0,VENTURE,A,5000,9.38,0,0.15,N,3,1999-12-04
4803,4803,24,42000,MORTGAGE,3.0,MEDICAL,A,8500,7.51,0,0.2,N,4,2000-12-04
4804,4804,25,34000,RENT,6.0,VENTURE,A,5000,,0,0.15,N,2,1999-12-04
4805,4805,23,34000,RENT,4.0,VENTURE,A,5000,7.88,0,0.15,N,4,2001-12-04
4806,4806,21,42000,MORTGAGE,6.0,EDUCATION,A,3500,7.51,0,0.08,N,2,2003-12-04
4807,4807,22,34000,RENT,3.0,DEBTCONSOLIDATION,A,5000,8.0,0,0.15,N,4,2002-12-04
4808,4808,25,34400,RENT,9.0,VENTURE,C,5000,13.49,0,0.15,N,4,1999-12-04
4809,4809,22,34500,RENT,1.0,VENTURE,C,5000,,0,0.14,N,4,2002-12-04
4810,4810,23,34800,RENT,1.0,HOMEIMPROVEMENT,B,5000,10.99,1,0.14,N,2,2001-12-04
4811,4811,23,42000,MORTGAGE,7.0,EDUCATION,D,10000,14.59,0,0.24,Y,2,2001-12-04
4812,4812,24,34900,RENT,3.0,DEBTCONSOLIDATION,B,5000,11.49,0,0.14,N,3,2000-12-04
4813,4813,22,34992,RENT,1.0,PERSONAL,B,5000,,0,0.14,N,3,2002-12-04
4814,4814,24,35000,RENT,4.0,MEDICAL,B,5000,11.71,0,0.14,N,3,2000-12-04
4815,4815,25,35000,RENT,0.0,MEDICAL,B,5000,11.71,0,0.14,N,2,1999-12-04
4816,4816,21,35000,RENT,5.0,MEDICAL,B,5000,10.65,0,0.14,N,3,2003-12-04
4817,4817,22,35000,RENT,2.0,MEDICAL,B,5000,11.71,0,0.14,N,2,2002-12-04
4818,4818,23,35000,RENT,5.0,PERSONAL,A,5000,6.99,0,0.14,N,2,2001-12-04
4819,4819,26,29000,RENT,6.0,MEDICAL,C,5000,12.99,1,0.17,Y,2,1998-12-04
4820,4820,25,36000,MORTGAGE,6.0,MEDICAL,D,10000,,1,0.28,N,2,1999-12-04
4821,4821,23,42000,MORTGAGE,2.0,EDUCATION,B,5200,10.25,0,0.12,N,4,2001-12-04
4822,4822,22,35000,RENT,6.0,MEDICAL,B,5000,,0,0.14,N,4,2002-12-04
4823,4823,23,35000,RENT,3.0,MEDICAL,B,5000,,0,0.14,N,2,2001-12-04
4824,4824,25,35000,RENT,3.0,MEDICAL,B,5000,10.36,0,0.14,N,3,1999-12-04
4825,4825,22,35000,RENT,3.0,DEBTCONSOLIDATION,A,5000,7.88,0,0.14,N,3,2002-12-04
4826,4826,24,35000,RENT,8.0,DEBTCONSOLIDATION,A,5000,7.88,0,0.14,N,4,2000-12-04
4827,4827,22,35000,RENT,4.0,PERSONAL,C,5000,13.23,0,0.14,N,2,2002-12-04
4828,4828,25,42000,MORTGAGE,5.0,DEBTCONSOLIDATION,A,7000,8.59,0,0.17,N,3,1999-12-04
4829,4829,25,36000,MORTGAGE,2.0,DEBTCONSOLIDATION,C,13750,13.22,1,0.38,N,4,1999-12-04
4830,4830,26,42000,MORTGAGE,0.0,VENTURE,B,4500,11.48,0,0.11,N,3,1998-12-04
4831,4831,25,29000,RENT,3.0,DEBTCONSOLIDATION,D,5000,15.7,1,0.17,Y,3,1999-12-04
4832,4832,22,42000,MORTGAGE,6.0,MEDICAL,A,5000,8.94,0,0.12,N,2,2002-12-04
4833,4833,23,29000,RENT,1.0,MEDICAL,F,5000,,1,0.17,Y,3,2001-12-04
4834,4834,24,29004,RENT,4.0,EDUCATION,A,5000,6.92,1,0.17,N,3,2000-12-04
4835,4835,23,35004,RENT,4.0,MEDICAL,C,5000,14.72,0,0.14,Y,3,2001-12-04
4836,4836,25,42000,MORTGAGE,2.0,PERSONAL,A,6000,8.94,0,0.14,N,2,1999-12-04
4837,4837,24,42000,MORTGAGE,2.0,HOMEIMPROVEMENT,A,7000,8.59,0,0.17,N,2,2000-12-04
4838,4838,25,35004,RENT,3.0,PERSONAL,A,5000,8.94,0,0.14,N,2,1999-12-04
4839,4839,23,35520,RENT,3.0,EDUCATION,C,5000,13.57,0,0.14,N,3,2001-12-04
4840,4840,21,35550,RENT,3.0,PERSONAL,C,5000,,0,0.14,N,4,2003-12-04
4841,4841,26,35880,RENT,2.0,VENTURE,A,5000,7.68,0,0.14,N,4,1998-12-04
4842,4842,22,30000,RENT,3.0,MEDICAL,D,5000,18.25,1,0.17,N,2,2002-12-04
4843,4843,21,42000,OTHER,5.0,DEBTCONSOLIDATION,C,12000,14.26,0,0.29,Y,4,2003-12-04
4844,4844,23,36000,RENT,1.0,EDUCATION,C,5000,14.79,0,0.14,N,2,2001-12-04
4845,4845,21,36000,RENT,3.0,EDUCATION,C,5000,12.99,0,0.14,N,4,2003-12-04
4846,4846,23,30000,RENT,7.0,PERSONAL,C,5000,14.17,1,0.17,Y,3,2001-12-04
4847,4847,26,36000,RENT,4.0,VENTURE,B,5000,10.37,0,0.14,N,4,1998-12-04
